0bps 19.96Kbps 9.06Kbps 3.14Kbps 3.1Kbps 11.61Kbps 18.19Kbps 24.54Kbps 21.3Kbps 24.71Kbps 12.45Kbps 10.87Kbps 25.79Kbps 5.33Kbps 19.27Kbps 4.37Kbps 6.4Kbps 7.87Kbps 5.23Kbps 5.47Kbps 16.03Kbps 9.73Kbps 17.74Kbps
924.0bps 23.14Kbps 24.64Kbps 2.25Kbps 3.99Kbps 637.46bps 14.58Kbps 10.44Kbps 15.88Kbps 4.51Kbps 7.66Kbps 0bps 17.21Kbps 17.34Kbps 7.41Kbps 11.98Kbps 22.67Kbps 25.55Kbps 10.26Kbps 20.61Kbps 2.6Kbps 25.78Kbps 18.85Kbps
22.94Kbps 18.19Kbps 2.05Kbps 18.98Kbps 5.17Kbps 19.41Kbps 8.0Kbps 9.46Kbps 23.71Kbps 4.7Kbps 2.11Kbps 18.17Kbps 0bps 22.39Kbps 13.92Kbps 520.33bps 18.19Kbps 8.04Kbps 7.39Kbps 14.15Kbps 13.09Kbps 9.03Kbps 11.94Kbps
10.06Kbps 21.85Kbps 17.75Kbps 8.76Kbps 16.38Kbps 7.92Kbps 94.46bps 3.99Kbps 13.92Kbps 7.96Kbps 910.0bps 11.67Kbps 9.79Kbps 0bps 10.47Kbps 2.54Kbps 11.0Kbps 22.88Kbps 5.88Kbps 10.94Kbps 11.87Kbps 25.4Kbps 20.09Kbps
8.41Kbps 6.01Kbps 15.34Kbps 5.14Kbps 12.62Kbps 2.95Kbps 23.3Kbps 3.65Kbps 9.24Kbps 4.37Kbps 21.79Kbps 7.62Kbps 8.83Kbps 11.0Kbps 0bps 9.54Kbps 16.29Kbps 4.88Kbps 4.79Kbps 2.99Kbps 15.6Kbps 22.16Kbps 19.55Kbps
22.22Kbps 21.38Kbps 3.34Kbps 17.95Kbps 280.42bps 14.09Kbps 10.34Kbps 3.49Kbps 5.12Kbps 19.15Kbps 16.49Kbps 18.07Kbps 14.34Kbps 5.52Kbps 8.83Kbps 0bps 9.26Kbps 20.54Kbps 3.68Kbps 7.79Kbps 17.02Kbps 11.37Kbps 14.52Kbps
10.5Kbps 14.3Kbps 19.82Kbps 25.47Kbps 22.13Kbps 3.27Kbps 15.19Kbps 17.03Kbps 8.68Kbps 18.88Kbps 3.93Kbps 5.47Kbps 3.77Kbps 9.03Kbps 15.37Kbps 791.0bps 0bps 4.63Kbps 13.86Kbps 16.6Kbps 1.2Kbps 9.24Kbps 25.15Kbps
8.74Kbps 18.64Kbps 21.61Kbps 9.87Kbps 13.47Kbps 20.94Kbps 12.24Kbps 1.3Kbps 13.1Kbps 25.26Kbps 847.0bps 12.82Kbps 7.87Kbps 2.81Kbps 11.47Kbps 1.01Kbps 6.91Kbps 0bps 11.68Kbps 7.15Kbps 9.54Kbps 6.54Kbps 15.46Kbps
4.92Kbps 5.45Kbps 21.15Kbps 18.34Kbps 6.48Kbps 21.35Kbps 8.34Kbps 24.81Kbps 14.87Kbps 15.04Kbps 12.91Kbps 3.38Kbps 19.27Kbps 1.55Kbps 19.25Kbps 25.56Kbps 17.86Kbps 24.79Kbps 0bps 12.92Kbps 5.4Kbps 21.58Kbps 12.05Kbps
6.94Kbps 20.2Kbps 22.55Kbps 24.07Kbps 13.95Kbps 12.98Kbps 7.4Kbps 24.98Kbps 23.32Kbps 2.81Kbps 1.76Kbps 15.95Kbps 12.93Kbps 25.56Kbps 15.25Kbps 15.04Kbps 4.63Kbps 19.54Kbps 17.51Kbps 0bps 12.52Kbps 16.88Kbps 7.83Kbps
5.12Kbps 12.37Kbps 12.26Kbps 3.95Kbps 6.96Kbps 20.92Kbps 16.55Kbps 2.06Kbps 15.47Kbps 16.44Kbps 8.9Kbps 17.91Kbps 22.36Kbps 9.81Kbps 22.55Kbps 4.6Kbps 343.24bps 19.62Kbps 22.73Kbps 4.61Kbps 0bps 11.12Kbps 25.19Kbps
13.57Kbps 9.38Kbps 3.59Kbps 20.49Kbps 1.58Kbps 24.02Kbps 2.09Kbps 20.25Kbps 11.89Kbps 18.26Kbps 1.81Kbps 16.45Kbps 9.67Kbps 4.73Kbps 21.55Kbps 22.11Kbps 14.45Kbps 8.32Kbps 10.27Kbps 10.86Kbps 15.37Kbps 0bps 22.5Kbps
15.6Kbps 2.48Kbps 896.0bps 22.27Kbps 7.71Kbps 1.05Kbps 21.99Kbps 21.91Kbps 12.63Kbps 2.46Kbps 10.68Kbps 24.05Kbps 24.98Kbps 12.33Kbps 11.21Kbps 19.1Kbps 8.6Kbps 24.95Kbps 12.62Kbps 12.41Kbps 3.69Kbps 3.84Kbps 0bps
